block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,error
AI硬件,SH,688498,源杰科技,20260923,1734.98,-1.03,-0.9,1.0,12.7,震荡,1789.26,1749.5,1663.47,1548.83,4.3,12.0,3.7,73.137,67.9,10.474,,"29.813,35.650,36.818,23.551,10.474",True,50.0,57.3,54.1,67.0,28.2,65.0,1896.54,1430.4,1.1,1.05,2.82,1888.0,1440.03,1440.03,1888.0,1919.0,995.01,-9.6,80.0,0,False,False,False,20260518:-32.8%;20230609:-28.8%,
AI硬件,SZ,300857,协创数据,20260923,268.01,-1.95,3.5,3.4,13.5,多头,269.87,263.57,262.35,253.54,2.2,5.7,2.7,4.474,3.548,1.851,金叉(4日前),"-0.141,0.689,1.787,2.358,1.851",True,55.6,54.5,69.5,63.3,81.7,70.0,276.37,248.33,0.53,0.83,1.86,278.6,237.66,237.66,278.6,318.5,183.61,-15.9,63.0,0,False,False,False,20260422:-27.8%;20250512:-27.9%,
AI硬件,SZ,300489,光智科技,20260923,264.02,6.03,25.5,19.6,26.7,多头,240.01,223.05,226.23,219.16,16.7,20.5,2.9,6.039,1.821,8.434,金叉(3日前),"-3.874,-1.744,1.494,4.744,8.434",True,82.6,64.7,76.7,57.6,114.9,109.0,258.03,194.44,1.26,1.34,11.19,264.46,197.01,197.01,264.46,311.58,124.27,-15.3,75.0,0,False,False,False,20200623:-31.5%;20160721:-49.7%,
AI硬件,SH,688048,长光华芯,20260923,348.9,-0.85,5.0,12.3,20.7,多头,346.62,326.05,309.19,321.49,12.8,8.5,4.2,12.162,5.082,14.161,,"10.020,12.211,15.536,15.461,14.161",True,67.0,60.6,79.9,76.7,86.3,88.0,361.63,256.76,0.71,1.07,3.94,368.88,268.0,268.0,368.88,506.7,206.0,-31.1,48.0,0,False,False,False,20230607:-23.4%,
AI硬件,SH,600487,亨通光电,20260923,69.94,-4.19,6.9,5.0,7.9,多头,70.53,67.28,66.78,64.26,4.7,8.8,3.0,1.717,0.968,1.496,金叉(5日前),"0.394,0.831,1.343,1.742,1.496",True,58.4,56.5,67.1,64.4,72.5,75.0,73.06,60.51,0.89,1.14,6.42,76.35,61.22,61.22,76.35,98.9,45.6,-29.3,46.0,1,False,False,False,20180629:-27.9%;20150924:-65.7%;20140526:-33.7%,
AI硬件,SZ,301536,星宸科技,20260923,133.81,0.55,17.0,14.2,18.9,多头,126.29,119.04,121.38,118.84,10.2,12.6,2.4,1.969,0.193,3.552,金叉(3日前),"-2.612,-0.565,0.778,2.504,3.552",True,78.1,62.3,77.2,59.7,112.3,89.0,137.38,105.38,0.93,1.03,6.78,137.93,107.6,107.6,137.93,146.62,90.5,-8.7,77.0,0,True,False,False,,
AI硬件,SH,603893,瑞芯微,20260923,223.01,2.39,23.7,19.0,26.6,多头,202.01,190.93,190.74,196.76,16.9,13.3,3.3,3.277,-1.086,8.726,金叉(4日前),"-1.224,0.284,2.289,6.007,8.726",True,87.9,69.2,78.8,59.1,118.1,115.0,215.5,165.98,2.39,1.36,7.39,227.3,175.6,175.6,227.3,233.88,170.88,-4.6,83.0,2,False,False,False,,
AI硬件,SH,600330,天通股份,20260923,29.98,0.91,-2.8,2.1,13.1,强多头,29.63,29.41,28.8,24.7,4.1,21.4,2.3,1.147,1.226,-0.158,死叉(4日前),"0.063,-0.045,-0.129,-0.159,-0.158",True,58.0,57.2,73.3,70.5,79.1,74.0,31.3,26.3,0.83,0.91,6.98,31.0,25.7,25.7,31.0,31.0,15.68,-3.3,93.0,3,False,False,False,20180625:-16.2%;20080613:-17.9%;20050617:-37.9%,
AI硬件,SH,603256,宏和科技,20260923,156.8,-1.52,9.4,22.3,17.1,多头,151.78,143.0,138.3,154.61,13.4,1.4,3.0,1.54,-2.552,8.183,,"5.388,6.360,6.751,8.040,8.183",True,78.8,61.1,82.7,76.1,95.8,95.0,159.07,117.53,1.29,1.52,3.39,163.81,118.73,118.73,163.81,253.2,112.6,-38.1,31.0,0,False,False,False,,
AI硬件,SH,600183,生益科技,20260923,143.56,0.08,-7.1,-3.1,10.4,震荡,144.65,146.94,146.1,137.47,-1.7,4.4,2.8,2.345,3.144,-1.598,死叉(4日前),"0.675,-0.276,-0.624,-1.233,-1.598",True,43.5,50.6,35.9,45.7,16.3,33.0,153.67,138.53,0.57,0.93,1.73,157.5,133.07,133.07,157.5,166.21,97.51,-13.6,67.0,0,False,False,False,20180528:-32.8%;20120601:-26.1%;20060925:-33.6%,
