板块,代码,名称,市场,收盘,当日涨跌,近5日,近1月,近3月,日趋势,周趋势,月趋势,日MA排列,周MA排列,月MA排列,MA5,MA10,MA20,MA60,BIAS20,RSI14,KDJ_K,KDJ_D,KDJ_J,日MACD,周MACD,月MACD,日DIF,日DEA,VR5,量比5_20,距52周高,五二周位置,ATRpct,背离,复权修正,是否ETF,今日除息
AI硬件,688300,联瑞新材,SH,174.78,-1.14,-0.69,25.61,-28.66,↑,→,↑,多头(价回MA5下),均线交织,多头(价回MA5下),178.478,177.992,175.52,161.2345,-0.42,49.18,50.37,53.75,43.6,死叉,死叉,金叉,5.6207,6.3847,0.72,0.79,-41.21,50.2,7.92,,,,
AI硬件,688313,仕佳光子,SH,171.5,0.66,18.25,11.33,-2.17,↑,→,↑,多头排列,均线交织,多头排列,162.022,155.155,153.375,140.7338,11.82,66.5,77.79,65.76,101.86,金叉,刚金叉,金叉,5.6903,4.0455,0.94,1.16,-17.02,77.0,5.72,,,,
AI硬件,688361,中科飞测,SH,386.99,0.16,27.3,10.73,2.86,→,↑,↑,均线交织,多头排列,多头排列,355.97,332.204,337.3435,352.0507,14.72,61.81,77.61,60.56,111.7,金叉,死叉,金叉,3.9501,-3.8438,0.87,1.31,-15.68,80.8,5.83,,,,
AI硬件,688432,有研硅,SH,54.59,-3.92,18.29,30.79,159.95,↑,↑,↑,多头排列,多头排列,多头排列,53.104,49.001,46.494,40.3023,17.41,56.98,73.96,68.05,85.78,金叉,金叉,金叉,3.9303,2.9364,0.86,1.09,-10.18,87.5,10.75,,,,
AI硬件,688498,源杰科技,SH,1838.56,0.19,8.62,19.31,6.59,↑,↑,↑,多头排列,多头排列,多头排列,1778.862,1743.997,1643.716,1551.4818,11.85,84.94,78.57,77.42,80.87,金叉,刚金叉,金叉,82.0314,63.6113,0.99,0.95,-6.58,92.6,4.98,,是,,
AI硬件,688549,中巨芯,SH,24.17,-0.78,5.18,-4.2,-36.06,→,↓,↑,均线交织,空头(价上突),多头排列,24.036,23.188,23.422,26.1528,3.19,55.29,71.95,61.89,92.06,金叉,死叉,金叉,-0.4446,-0.7119,0.83,1.26,-45.07,44.9,5.78,,,,
AI硬件,688627,精智达,SH,490.0,-2.58,10.35,5.31,-30.5,→,→,↑,均线交织,均线交织,多头(价回MA5下),484.472,475.158,477.9665,502.7312,2.52,53.37,65.86,55.17,87.23,金叉,死叉,金叉,-0.2052,-3.1905,0.95,0.88,-33.46,61.0,6.68,,,,
AI硬件,688630,芯碁微装,SH,422.9,-3.85,5.28,-0.76,-22.84,→,↑,↑,均线交织,多头排列,多头排列,427.94,416.878,412.742,416.762,2.46,56.21,75.48,72.78,80.86,金叉,死叉,金叉,3.8963,1.007,1.04,1.0,-26.79,67.2,5.53,,,,
AI硬件,688668,鼎通科技,SH,266.15,-1.28,7.84,7.32,-26.98,→,→,↑,均线交织,均线交织,多头(价回MA5下),261.338,258.582,258.1085,263.574,3.12,57.93,66.0,56.35,85.3,金叉,死叉,金叉,1.4913,0.176,1.01,0.88,-40.06,50.8,5.94,,,,
AI硬件,688783,西安奕材,SH,29.28,-0.61,11.63,-7.37,-52.26,→,↓,→,均线交织,空头(价上突),数据不足,28.346,27.431,28.6055,35.1298,2.36,48.95,68.75,50.3,105.64,金叉,死叉,N/A,-1.1549,-1.5973,0.82,1.27,-56.19,18.2,5.1,,,,
AI硬件,688800,瑞可达,SH,69.87,0.79,5.69,8.83,-22.25,↑,→,↑,多头排列,均线交织,多头(价回MA5下),68.622,67.933,65.257,65.0933,7.07,66.04,73.71,70.65,79.82,金叉,死叉,金叉,1.7589,1.1421,1.04,0.76,-33.75,40.3,5.27,,是,,
AI硬件,688825,长鑫科技,SH,56.88,2.41,4.39,0.49,,→,→,→,数据不足,数据不足,数据不足,55.042,55.889,56.343,,0.95,51.02,36.86,30.74,49.08,死叉,N/A,N/A,0.171,0.4666,1.1,0.96,,,4.11,,,,
AI硬件,920045,蘅东光,BJ,553.22,-3.11,-4.78,22.8,-4.24,↑,→,→,多头(价回MA5下),均线交织,数据不足,569.082,561.134,526.005,414.9812,5.17,64.59,58.67,65.61,44.8,刚死叉,金叉,N/A,43.8911,44.5806,1.05,0.86,-27.68,61.9,9.0,,,,
关注个股,000504,南华生物,SZ,11.01,9.99,28.02,35.26,48.58,↑,↑,↓,多头排列,多头排列,空头(价上突),9.348,8.973,8.6255,8.299,27.64,79.53,83.23,68.78,112.14,金叉,金叉,刚金叉,0.3618,0.1379,0.61,1.42,0.0,100.0,4.36,,,,
关注个股,000739,普洛药业,SZ,24.82,5.71,9.44,25.93,45.74,↑,↑,↑,多头排列,多头排列,多头排列,23.27,22.801,22.1785,20.9205,11.91,76.23,82.29,74.19,98.5,金叉,金叉,金叉,0.6388,0.4498,1.51,0.87,-0.24,99.4,3.49,,,,
