date,sh_margin_y,sz_margin_y,total_margin_y,sh_change_y,sh_change_pct,sz_change_y,sz_change_pct,total_change_y,total_change_pct,source,sample_status
2014-12-18,6573.56997782,3305.63940557,9879.20938339,89.07369393,1.37364091,21.61599597,0.65821687,110.68968990,1.13312655,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-19,6672.60348402,3328.87991493,10001.48339895,99.03350620,1.50654069,23.24050936,0.70305640,122.27401556,1.23769029,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-22,6705.95742509,3331.17999016,10037.13741525,33.35394107,0.49986398,2.30007523,0.06909457,35.65401630,0.35648728,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-23,6690.05263570,3308.34683231,9998.39946801,-15.90478939,-0.23717403,-22.83315785,-0.68543753,-38.73794724,-0.38594617,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-24,6672.20851499,3285.50084368,9957.70935867,-17.84412071,-0.26672616,-22.84598863,-0.69055603,-40.69010934,-0.40696623,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-25,6729.74233665,3276.72264887,10006.46498552,57.53382166,0.86229052,-8.77819481,-0.26717981,48.75562685,0.48962693,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-26,6786.46298701,3274.02063637,10060.48362338,56.72065036,0.84283539,-2.70201250,-0.08246082,54.01863786,0.53983737,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-29,6876.78463441,3297.26505575,10174.04969016,90.32164740,1.33090901,23.24441938,0.70996557,113.56606678,1.12883308,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-30,6917.81993774,3292.54424765,10210.36418539,41.03530333,0.59672224,-4.72080810,-0.14317345,36.31449523,0.35693255,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-31,6903.04859709,3270.68013659,10173.72873368,-14.77134065,-0.21352595,-21.86411106,-0.66404912,-36.63545171,-0.35880651,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-05,7000.07355731,3295.75457077,10295.82812808,97.02496022,1.40553784,25.07443418,0.76664281,122.09939440,1.20014399,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-06,7073.91292198,3303.37451354,10377.28743552,73.83936467,1.05483698,7.61994277,0.23120480,81.45930744,0.79118752,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-07,7157.29306750,3335.70682580,10492.99989330,83.38014552,1.17869907,32.33231226,0.97876617,115.71245778,1.11505496,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-08,7184.85280095,3345.37113612,10530.22393707,27.55973345,0.38505805,9.66431032,0.28972301,37.22404377,0.35475121,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-09,7264.00724109,3340.96183516,10604.96907625,79.15444014,1.10168492,-4.40930096,-0.13180304,74.74513918,0.70981529,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-12,7358.78164519,3360.71465357,10719.49629876,94.77440410,1.30471241,19.75281841,0.59123149,114.52722251,1.07993924,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-13,7408.93116001,3372.25655535,10781.18771536,50.14951482,0.68149209,11.54190178,0.34343593,61.69141660,0.57550667,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-14,7497.50725573,3412.01284890,10909.52010463,88.57609572,1.19553136,39.75629355,1.17892257,128.33238927,1.19033628,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
